date,states,cases,number
2020-01-21,washington,confirmed,1
2020-01-21,washington,deaths,0
2020-01-22,washington,confirmed,1
2020-01-22,washington,deaths,0
2020-01-23,washington,confirmed,1
2020-01-23,washington,deaths,0
2020-01-24,illinois,confirmed,1
2020-01-24,illinois,deaths,0
2020-01-24,washington,confirmed,1
2020-01-24,washington,deaths,0
2020-01-25,california,confirmed,1
2020-01-25,california,deaths,0
2020-01-25,illinois,confirmed,1
2020-01-25,illinois,deaths,0
2020-01-25,washington,confirmed,1
2020-01-25,washington,deaths,0
2020-01-26,arizona,confirmed,1
2020-01-26,arizona,deaths,0
2020-01-26,california,confirmed,2
2020-01-26,california,deaths,0
2020-01-26,illinois,confirmed,1
2020-01-26,illinois,deaths,0
2020-01-26,washington,confirmed,1
2020-01-26,washington,deaths,0
2020-01-27,arizona,confirmed,1
2020-01-27,arizona,deaths,0
2020-01-27,california,confirmed,2
2020-01-27,california,deaths,0
2020-01-27,illinois,confirmed,1
2020-01-27,illinois,deaths,0
2020-01-27,washington,confirmed,1
2020-01-27,washington,deaths,0
2020-01-28,arizona,confirmed,1
2020-01-28,arizona,deaths,0
2020-01-28,california,confirmed,2
2020-01-28,california,deaths,0
2020-01-28,illinois,confirmed,1
2020-01-28,illinois,deaths,0
2020-01-28,washington,confirmed,1
2020-01-28,washington,deaths,0
2020-01-29,arizona,confirmed,1
2020-01-29,arizona,deaths,0
2020-01-29,california,confirmed,2
2020-01-29,california,deaths,0
2020-01-29,illinois,confirmed,1
2020-01-29,illinois,deaths,0
2020-01-29,washington,confirmed,1
2020-01-29,washington,deaths,0
2020-01-30,arizona,confirmed,1
2020-01-30,arizona,deaths,0
2020-01-30,california,confirmed,2
2020-01-30,california,deaths,0
2020-01-30,illinois,confirmed,2
2020-01-30,illinois,deaths,0
2020-01-30,washington,confirmed,1
2020-01-30,washington,deaths,0
2020-01-31,arizona,confirmed,1
2020-01-31,arizona,deaths,0
2020-01-31,california,confirmed,3
2020-01-31,california,deaths,0
2020-01-31,illinois,confirmed,2
2020-01-31,illinois,deaths,0
2020-01-31,washington,confirmed,1
2020-01-31,washington,deaths,0
2020-02-01,arizona,confirmed,1
2020-02-01,arizona,deaths,0
2020-02-01,california,confirmed,3
2020-02-01,california,deaths,0
2020-02-01,illinois,confirmed,2
2020-02-01,illinois,deaths,0
2020-02-01,massachusetts,confirmed,1
2020-02-01,massachusetts,deaths,0
2020-02-01,washington,confirmed,1
2020-02-01,washington,deaths,0
2020-02-02,arizona,confirmed,1
2020-02-02,arizona,deaths,0
2020-02-02,california,confirmed,6
2020-02-02,california,deaths,0
2020-02-02,illinois,confirmed,2
2020-02-02,illinois,deaths,0
2020-02-02,massachusetts,confirmed,1
2020-02-02,massachusetts,deaths,0
2020-02-02,washington,confirmed,1
2020-02-02,washington,deaths,0
2020-02-03,arizona,confirmed,1
2020-02-03,arizona,deaths,0
2020-02-03,california,confirmed,6
2020-02-03,california,deaths,0
2020-02-03,illinois,confirmed,2
2020-02-03,illinois,deaths,0
2020-02-03,massachusetts,confirmed,1
2020-02-03,massachusetts,deaths,0
2020-02-03,washington,confirmed,1
2020-02-03,washington,deaths,0
2020-02-04,arizona,confirmed,1
2020-02-04,arizona,deaths,0
2020-02-04,california,confirmed,6
2020-02-04,california,deaths,0
2020-02-04,illinois,confirmed,2
2020-02-04,illinois,deaths,0
2020-02-04,massachusetts,confirmed,1
2020-02-04,massachusetts,deaths,0
2020-02-04,washington,confirmed,1
2020-02-04,washington,deaths,0
2020-02-05,arizona,confirmed,1
2020-02-05,arizona,deaths,0
2020-02-05,california,confirmed,6
2020-02-05,california,deaths,0
2020-02-05,illinois,confirmed,2
2020-02-05,illinois,deaths,0
2020-02-05,massachusetts,confirmed,1
2020-02-05,massachusetts,deaths,0
2020-02-05,washington,confirmed,1
2020-02-05,washington,deaths,0
2020-02-05,wisconsin,confirmed,1
2020-02-05,wisconsin,deaths,0
2020-02-06,arizona,confirmed,1
2020-02-06,arizona,deaths,0
2020-02-06,california,confirmed,6
2020-02-06,california,deaths,0
2020-02-06,illinois,confirmed,2
2020-02-06,illinois,deaths,0
2020-02-06,massachusetts,confirmed,1
2020-02-06,massachusetts,deaths,0
2020-02-06,washington,confirmed,1
2020-02-06,washington,deaths,0
2020-02-06,wisconsin,confirmed,1
2020-02-06,wisconsin,deaths,0
2020-02-07,arizona,confirmed,1
2020-02-07,arizona,deaths,0
2020-02-07,california,confirmed,6
2020-02-07,california,deaths,0
2020-02-07,illinois,confirmed,2
2020-02-07,illinois,deaths,0
2020-02-07,massachusetts,confirmed,1
2020-02-07,massachusetts,deaths,0
2020-02-07,washington,confirmed,1
2020-02-07,washington,deaths,0
2020-02-07,wisconsin,confirmed,1
2020-02-07,wisconsin,deaths,0
2020-02-08,arizona,confirmed,1
2020-02-08,arizona,deaths,0
2020-02-08,california,confirmed,6
