payment_id,booking_id,customer_id,payment_type_code,amount_paid_in_full_yn,payment_date,amount_due,amount_paid
1,6,15,check,1,2018-03-09 16:28:00,369.52,206.27
2,9,12,cash,1,2018-03-03 13:39:44,278.6,666.45
3,5,7,credit card,0,2018-03-22 15:00:23,840.06,135.7
4,6,1,check,0,2018-03-22 02:28:11,678.29,668.4
5,8,11,cash,1,2018-03-23 20:36:04,830.25,305.65
6,15,8,check,0,2018-03-19 12:39:31,410.1,175.54
7,1,8,cash,1,2018-03-02 06:25:45,482.26,602.8
8,9,14,cash,1,2018-03-12 23:00:55,653.18,505.23
9,3,7,direct debit,0,2018-03-12 23:23:56,686.85,321.58
10,13,10,credit card,1,2018-03-23 13:24:33,486.75,681.21
11,14,15,credit card,1,2018-03-03 03:07:00,259.18,464.06
12,14,9,cash,0,2018-02-27 10:50:39,785.73,685.32
13,15,14,direct debit,0,2018-03-03 14:22:51,665.58,307.14
14,5,5,direct debit,1,2018-03-17 15:51:52,407.51,704.41
15,4,12,credit card,1,2018-03-17 03:07:45,631.93,334.2
